Time,"CH 1, GSR1","CH 2, GSR2","CH 3, GSR3","CH 4, GSR4","CH 5, GSR5"
53,-0.000915527,-0.001220703,-0.000610352,-0.000915527,0
54,-0.001220703,-0.001220703,-0.000915527,-0.001525879,-0.001220703
55,-0.00213623,-0.001525879,-0.001220703,-0.001220703,-0.001220703
56,-0.00213623,-0.001525879,-0.000305176,-0.001220703,-0.000915527
57,-0.002746582,-0.00213623,-0.000915527,-0.001831055,-0.000915527
58,-0.00213623,-0.001525879,-0.001525879,-0.001525879,-0.001220703
59,-0.002746582,-0.00213623,-0.000915527,-0.001525879,-0.000915527
60,-0.002441406,-0.002441406,-0.001220703,-0.00213623,-0.000915527
61,-0.000610352,-0.001220703,-0.000915527,-0.001831055,-0.001220703
62,-0.000305176,-0.001220703,-0.000305176,-0.000915527,-0.000305176
63,-0.000610352,-0.000915527,0,-0.001220703,-0.000305176
64,-0.000915527,-0.000305176,-0.000305176,-0.000915527,-0.000305176
65,-0.000915527,-0.000915527,-0.000610352,-0.000610352,0
66,-0.001220703,-0.001525879,-0.000305176,0,-0.000305176
67,-0.000305176,-0.000915527,-0.000305176,-0.000915527,0.000305176
68,-0.000305176,-0.000305176,-0.000305176,-0.000915527,-0.000305176
69,-0.000305176,-0.001220703,0.000305176,0,0
70,-0.000610352,-0.000610352,0,-0.000915527,-0.000305176
71,-0.000610352,-0.000305176,0,-0.001220703,0.000305176
72,-0.000610352,-0.000610352,-0.000610352,0,-0.000305176
73,-0.000305176,-0.001220703,0,-0.000610352,-0.000305176
74,-0.000915527,-0.000610352,-0.000305176,-0.000915527,-0.000305176
75,-0.000305176,-0.000610352,0,-0.000610352,-0.000610352
76,-0.000915527,-0.000610352,0.000305176,-0.000610352,0
77,0.000305176,-0.000915527,0,-0.001220703,0
78,-0.000610352,0,-0.000305176,-0.000305176,-0.000915527
79,-0.000610352,0,0.000305176,-0.000610352,0
80,0.000610352,-0.000610352,0,-0.000915527,0.000305176
81,0,0.000610352,0.000305176,0,0.000305176
82,0.000305176,-0.000305176,0.000305176,0,0.000305176
83,0.000610352,0.000305176,0.001220703,0,0.000610352
84,-0.001220703,-0.000610352,-0.000305176,-0.000915527,-0.000610352
85,-0.000915527,-0.000915527,-0.000915527,-0.001220703,-0.000915527
86,-0.000915527,-0.000610352,-0.000305176,-0.001525879,-0.000610352
87,-0.001220703,-0.000610352,-0.000610352,-0.000915527,-0.000305176
88,-0.000305176,-0.001220703,-0.000610352,-0.001220703,-0.000305176
89,-0.000610352,-0.000610352,-0.000305176,-0.000610352,-0.000305176
90,-0.001220703,-0.000915527,-0.000305176,-0.000915527,-0.000305176
91,-0.000610352,-0.000915527,-0.000305176,-0.000915527,-0.000305176
92,-0.000610352,-0.000610352,-0.000305176,-0.000610352,-0.000610352
93,0,-0.000610352,-0.000305176,-0.001525879,-0.000305176
94,0,-0.000915527,0,-0.000915527,0
95,-0.000915527,-0.000915527,-0.000915527,-0.000610352,-0.000305176
96,-0.000610352,0.000305176,-0.000610352,-0.000915527,-0.000305176
97,-0.000915527,-0.000610352,0.000305176,-0.001220703,0
98,-0.000610352,-0.000610352,0.000305176,-0.001220703,0
99,-0.000610352,0,0,-0.000915527,0
100,-0.000305176,-0.000915527,-0.000305176,-0.000915527,0
101,-0.000915527,-0.000610352,-0.000305176,-0.001220703,-0.000915527
102,-0.000305176,-0.000610352,-0.000305176,-0.000915527,0.000305176
103,-0.000610352,-0.000305176,-0.000305176,-0.000610352,-0.000305176
104,-0.000610352,-0.001220703,-0.000610352,-0.001220703,-0.000610352
105,-0.001220703,-0.000610352,0,-0.000915527,-0.000305176
106,-0.000305176,-0.000915527,0.000610352,-0.000305176,0.000305176
107,-0.001220703,0,0,-0.000610352,0
108,-0.000610352,-0.000915527,0,-0.000915527,-0.000305176
109,-0.000610352,0,-0.000305176,-0.001220703,-0.000305176
110,-0.001220703,-0.000915527,0.000305176,-0.000610352,0.000305176
111,-0.001220703,-0.000915527,-0.000305176,-0.000915527,0.000305176
112,-0.000915527,-0.000610352,-0.000305176,-0.001525879,-0.000305176
113,-0.001220703,-0.000915527,0,-0.001220703,0.000305176
114,-0.000915527,-0.000305176,-0.000610352,-0.000915527,-0.000610352
115,-0.000915527,-0.001220703,-0.000915527,-0.000610352,-0.000610352
116,0,-0.000915527,-0.000305176,-0.000915527,0
117,-0.000305176,-0.001220703,-0.000305176,-0.000915527,-0.000305176
118,-0.000610352,0,0,-0.000305176,-0.000610352
119,-0.000610352,-0.000610352,-0.000610352,-0.000915527,0.000305176
120,-0.001220703,-0.001525879,-0.000610352,-0.000915527,0.000305176
121,0,-0.000610352,-0.000305176,-0.000610352,-0.000305176
122,-0.000915527,-0.000610352,-0.000610352,-0.000915527,-0.000915527
123,-0.000610352,-0.000610352,-0.000915527,-0.000915527,-0.000305176
124,-0.001220703,-0.000305176,-0.000305176,-0.000915527,-0.000610352
125,-0.001220703,-0.000610352,-0.000305176,-0.001220703,0
126,-0.000610352,-0.001220703,-0.000305176,-0.000915527,0
127,-0.000610352,-0.000610352,0,-0.000610352,0
128,-0.000610352,-0.000610352,0,-0.000915527,-0.000610352
129,-0.000915527,-0.000915527,-0.000305176,-0.000915527,-0.000305176
130,-0.000305176,-0.000610352,-0.000305176,-0.000610352,0.000305176
131,-0.001220703,-0.001220703,-0.000305176,-0.000305176,-0.000915527
132,-0.000610352,-0.000610352,-0.000915527,-0.001220703,-0.000305176
133,-0.000915527,0,0.000305176,-0.001220703,-0.000305176
134,-0.000305176,0.000305176,-0.000305176,-0.000915527,0.000305176
135,0.000915527,0.000610352,0.000305176,-0.000305176,0.000915527
136,0.001525879,0,0.000915527,-0.000305176,0.000610352
137,0.000610352,0,0.000915527,0.000305176,0.001220703
138,-0.000610352,-0.000610352,0,-0.000610352,0.000305176
139,-0.000305176,0.000305176,-0.000610352,-0.000305176,0
140,-0.000915527,-0.000915527,0,-0.000610352,-0.000305176
141,0,-0.000610352,0.000305176,-0.000915527,0
142,-0.001220703,0,-0.000305176,-0.001220703,-0.000305176
143,-0.000610352,-0.000915527,-0.000610352,-0.000610352,-0.001220703
144,-0.000305176,-0.000610352,-0.000610352,-0.000915527,-0.000305176
145,-0.000610352,-0.000915527,-0.000305176,-0.000915527,-0.000305176
146,-0.000305176,-0.000915527,0.000305176,-0.001220703,-0.000305176
147,-0.000610352,-0.000610352,0,-0.000915527,-0.000305176
148,-0.001220703,-0.000305176,-0.000305176,-0.000610352,-0.000305176
149,-0.000305176,-0.000915527,-0.000305176,-0.000915527,0
150,-0.000915527,0,0.000305176,-0.000915527,-0.000305176
151,-0.000305176,-0.000305176,-0.000305176,-0.000610352,-0.000305176
152,-0.000915527,-0.000915527,-0.000305176,-0.001220703,-0.000305176
153,-0.001220703,-0.000610352,-0.000305176,-0.001220703,-0.000305176
154,-0.000610352,-0.000610352,-0.000305176,-0.001220703,-0.000610352
155,-0.000915527,-0.000305176,0,-0.000915527,-0.000610352
156,-0.000610352,-0.000610352,-0.000915527,-0.001220703,0
157,-0.000305176,-0.000305176,-0.000610352,-0.000610352,-0.000610352
158,-0.000610352,-0.000915527,-0.000610352,-0.000610352,0
159,-0.000915527,-0.000610352,0,-0.000610352,-0.000305176
160,-0.000305176,-0.000305176,-0.000305176,-0.000915527,-0.000610352
161,-0.000610352,0,0,-0.000305176,-0.000610352
162,0,-0.000915527,-0.000610352,-0.000610352,-0.000305176
163,-0.000305176,-0.000610352,-0.000305176,-0.000915527,0
164,0,-0.000305176,-0.000610352,-0.001220703,0
165,-0.000305176,-0.000305176,0.000305176,-0.000305176,0.000305176
166,-0.000305176,-0.000610352,0.000305176,-0.000915527,-0.000305176
167,-0.000305176,-0.000915527,-0.000610352,-0.000915527,0
168,-0.000305176,-0.000610352,0,-0.000915527,0
169,0,-0.000610352,-0.000305176,-0.001220703,0
170,-0.000610352,-0.000305176,-0.000305176,-0.000610352,0.000305176
171,-0.000610352,0,-0.000305176,-0.000610352,-0.000305176
172,-0.000305176,-0.000610352,-0.000610352,-0.000610352,-0.001220703
173,-0.000305176,-0.000305176,-0.000305176,-0.001220703,0
174,-0.000305176,0,0.000305176,0,-0.000305176
175,-0.000305176,-0.000305176,-0.000305176,-0.000915527,-0.000305176
176,0.000305176,0,0.000305176,-0.000610352,0
177,0.000610352,0,0,-0.000915527,0
178,0.000610352,0.001220703,0.000305176,-0.000610352,-0.000305176
179,0.000915527,0,0,-0.000305176,0.000305176
180,0.000915527,0.000915527,0.000915527,-0.000305176,0.000305176
181,0.001220703,0.000915527,0.000915527,0.000305176,0.000305176
182,-0.000305176,-0.000610352,-0.000610352,0,0.000915527
183,0,-0.001220703,-0.000610352,-0.000610352,0.000305176
184,-0.000305176,-0.000610352,-0.000305176,-0.000305176,0
185,0.000305176,-0.000610352,0.000610352,-0.001525879,0
186,-0.000305176,0,0.000305176,-0.000915527,-0.000610352
187,0,-0.000915527,-0.000305176,-0.000610352,0.000305176
188,0.000305176,-0.000610352,0,-0.000610352,-0.000305176
189,0.000305176,-0.000305176,0.000305176,-0.000915527,0.000610352
190,0.000305176,0.000610352,0.000610352,-0.000305176,0
191,-0.000610352,-0.001525879,-0.000305176,-0.000915527,0
192,-0.000915527,-0.001525879,0,-0.000915527,-0.000305176
193,-0.001220703,-0.001220703,0,-0.001220703,-0.000305176
194,-0.000610352,-0.001220703,-0.000305176,-0.000610352,-0.000305176
195,-0.001220703,-0.001220703,-0.000610352,-0.001525879,-0.000610352
196,-0.001525879,-0.001525879,-0.000305176,-0.000610352,-0.000305176
197,-0.001831055,-0.002441406,-0.000915527,-0.001525879,-0.000915527
198,-0.001525879,-0.00213623,-0.001220703,-0.001525879,-0.001220703
199,0,0.000610352,-0.000305176,-0.000610352,-0.000610352
200,-0.000305176,0.000305176,0.000610352,-0.000305176,0
201,-0.000610352,-0.000305176,0.000610352,-0.000915527,-0.000305176
202,-0.001220703,-0.000610352,0,-0.000610352,-0.000305176
203,-0.000610352,-0.000305176,0,-0.001220703,0
204,-0.000915527,-0.001220703,-0.000305176,-0.000915527,0
205,0.000305176,0,0,-0.001525879,0
206,0,0,0.000305176,-0.000610352,-0.000915527
207,-0.001831055,-0.001525879,-0.001220703,-0.00213623,-0.000915527
208,0.000305176,-0.000610352,-0.000305176,-0.000610352,0.000610352
209,0.002746582,0.001525879,0,-0.000915527,0.000305176
210,0.002746582,0.001220703,0.001525879,0.000915527,0.001525879
211,0.001220703,0.000610352,0.000610352,0,0.000610352
212,0.001525879,0.000915527,0.000915527,0.000305176,0.001220703
213,0.001831055,0.000610352,0.000610352,0,0.000610352
214,-0.001220703,-0.000915527,-0.000610352,-0.001525879,-0.000610352
215,-0.001220703,-0.000915527,-0.000305176,-0.001220703,-0.000305176
216,-0.000305176,0.000305176,-0.000610352,-0.000915527,0.000305176
217,-0.000610352,-0.000915527,0,-0.000915527,0
218,-0.001220703,0,-0.000305176,-0.000915527,-0.000305176
219,-0.001220703,-0.000915527,-0.000305176,-0.000305176,-0.000305176
220,-0.000610352,-0.000610352,-0.000305176,-0.000915527,-0.000610352
221,-0.000305176,-0.000915527,-0.000305176,-0.000610352,0
222,-0.000610352,-0.000610352,-0.000305176,-0.000915527,-0.000305176
223,-0.000610352,-0.000305176,-0.000610352,-0.000610352,0
224,-0.000610352,0,0,-0.001220703,-0.000610352
225,-0.000915527,0,0,-0.001525879,0.000915527
226,0,-0.000305176,-0.000305176,-0.001220703,-0.000305176
227,-0.000915527,-0.000610352,0,-0.000305176,-0.000305176
228,-0.001525879,-0.000610352,-0.000305176,-0.000610352,-0.000610352
229,-0.001220703,-0.001220703,-0.000305176,0.000305176,-0.000305176
230,-0.000915527,-0.000915527,-0.000305176,-0.001220703,-0.000305176
231,-0.000305176,-0.000610352,-0.000610352,-0.000915527,-0.000305176
232,-0.000610352,-0.000305176,0.000305176,0.000305176,-0.000610352
233,-0.000610352,-0.000610352,0,-0.000915527,-0.000610352
234,-0.000610352,-0.000915527,-0.000610352,-0.001525879,0.000305176
235,-0.001525879,-0.000915527,0.000305176,-0.000610352,0
236,-0.000915527,-0.000305176,-0.001525879,-0.001525879,-0.001220703
